,id,username,date,retweet
397,1345669237327630336,radioelshinta,2021-01-03,@BobyWibs
398,1345271445459324930,radioelshinta,2021-01-02,@mannyuns
402,1344922775836786692,radioelshinta,2021-01-01,@Herrreza
403,1344914426747441158,radioelshinta,2021-01-01,@FarhanF83325726
404,1344817286335533056,radioelshinta,2021-01-01,@redywanjames
405,1344622905716445184,radioelshinta,2020-12-31,@ElshintaTegal_
407,1344567608318672898,radioelshinta,2020-12-31,@YulidaNing
408,1344549327985754112,radioelshinta,2020-12-31,@FitRadioBandung
409,1344530243998994433,radioelshinta,2020-12-31,@Dedeh75138272
410,1344520677907263488,radioelshinta,2020-12-31,@elinariyani
412,1344518848981078016,radioelshinta,2020-12-31,@AshaaMW
413,1344510750711169024,radioelshinta,2020-12-31,@Supriyanto_Dei
415,1344206073947848705,radioelshinta,2020-12-30,@AhmadJapra7
416,1344159065111285762,radioelshinta,2020-12-30,@T14503NG
417,1343923573061107717,radioelshinta,2020-12-29,@meg_1916
418,1343912624388333573,radioelshinta,2020-12-29,@meg_1916
419,1343701706605953025,radioelshinta,2020-12-29,@IningNashin
420,1343570114004729859,radioelshinta,2020-12-28,@FarhanF83325726
422,1343448090070589440,radioelshinta,2020-12-28,@rizkipradipta
424,1343203107409338369,radioelshinta,2020-12-27,@ElshintaTegal_
425,1343119246004404225,radioelshinta,2020-12-27,@intanalyze
426,1343088653933760512,radioelshinta,2020-12-27,@k035
427,1342787575728152577,radioelshinta,2020-12-26,@intanalyze
433,1340465770535370753,radioelshinta,2020-12-20,@ElshintaTegal_
438,1339850956108787712,radioelshinta,2020-12-18,@bagaas_hermawan
439,1339560635751751682,radioelshinta,2020-12-17,@marcelinogmail5
444,1339345032063537152,radioelshinta,2020-12-17,@JoenMaristo
445,1339317179641053185,radioelshinta,2020-12-17,@ElshintaTegal_
446,1339271813990211584,radioelshinta,2020-12-17,@ElshintaTegal_
448,1339240529758842880,radioelshinta,2020-12-16,@ElshintaTegal_
449,1339234950600564738,radioelshinta,2020-12-16,@diancurin
451,1339119883167002635,radioelshinta,2020-12-16,@ElshintaTegal_
452,1338999961741000704,radioelshinta,2020-12-16,@budiagani
462,1338270862445740032,radioelshinta,2020-12-14,@Nkaryadi
465,1337631093407694851,radioelshinta,2020-12-12,@rendroko
470,1337417911200141315,radioelshinta,2020-12-11,@FarhanF83325726
479,1337031270660939776,radioelshinta,2020-12-10,@arif_tenanan
485,1336643896395231232,radioelshinta,2020-12-09,@richansix
488,1336592750939000832,radioelshinta,2020-12-09,@marcelinogmail5
494,1335927278736306178,radioelshinta,2020-12-07,@FarhanF83325726
495,1335911529582002176,radioelshinta,2020-12-07,@ElshintaTegal_
496,1335840260635312128,radioelshinta,2020-12-07,@billysmbring366
500,1335802422128640002,radioelshinta,2020-12-07,@intanalyze
501,1335795882399166464,radioelshinta,2020-12-07,@FarhanF83325726
502,1335766366582784002,radioelshinta,2020-12-07,@greenxcode
504,1335606287090913280,radioelshinta,2020-12-06,@Hamas191
505,1335595170348208128,radioelshinta,2020-12-06,@Bp_HasbiJunaedi
507,1335468686639996928,radioelshinta,2020-12-06,@FarhanF83325726
508,1335403226049343488,radioelshinta,2020-12-06,@JawaraRobi
510,1335070083249360906,radioelshinta,2020-12-05,@revobiru
512,1334572267624230913,radioelshinta,2020-12-04,@AnakBabeGw
514,1334453070105780227,radioelshinta,2020-12-03,@percayaNgl
516,1334124732698955779,radioelshinta,2020-12-02,@AndiDarmawan80
517,1334050203553259520,radioelshinta,2020-12-02,@BeritaSUKOHARJO
519,1333940243532115968,radioelshinta,2020-12-02,@22_ronytamala
520,1333927540302381057,radioelshinta,2020-12-02,@RECOVERADIO
522,1333904323042893824,radioelshinta,2020-12-02,@22_ronytamala
526,1333601825468006402,radioelshinta,2020-12-01,@T14503NG
527,1333236818104311808,radioelshinta,2020-11-30,@ElshintaTegal_
528,1333214159819816960,radioelshinta,2020-11-30,@ElshintaTegal_
575,1326243226450333698,radioelshinta,2020-11-11,@MadyanNaim
582,1324700691927977985,radioelshinta,2020-11-06,@h4850ro
585,1324156767333355520,radioelshinta,2020-11-05,@alambaskoroke4
590,1323433803386216451,radioelshinta,2020-11-03,@AmstrongBiring
593,1323401070417043456,radioelshinta,2020-11-03,@Info_dari_Anda
596,1323069828739989504,radioelshinta,2020-11-02,@J_Evriyanto
601,1321790110656995328,radioelshinta,2020-10-29,@helen_sahetapy
603,1321226640622407680,radioelshinta,2020-10-28,@GoTotheJek
606,1320783446424211457,radioelshinta,2020-10-27,@AnakBabeGw
610,1320669504087552004,radioelshinta,2020-10-26,@intanalyze
612,1320289385825234944,radioelshinta,2020-10-25,@ElshintaTegal_
613,1320280656148983808,radioelshinta,2020-10-25,@ElshintaTegal_
614,1319983073170132992,radioelshinta,2020-10-24,@PraptoPinardi2
615,1319842482088099845,radioelshinta,2020-10-24,@NuningBasoeki
625,1319297854553243649,radioelshinta,2020-10-22,@alambaskoroke4
627,1319213178979405825,radioelshinta,2020-10-22,@WellToto
628,1319099598116274176,radioelshinta,2020-10-22,@AjungHijaya
629,1319099553191096320,radioelshinta,2020-10-22,@ian__antono
631,1319081033757872132,radioelshinta,2020-10-22,@FajarThama
633,1319050834332798976,radioelshinta,2020-10-22,@ogiabdillah
634,1319033034029498368,radioelshinta,2020-10-22,@mulyatikaral
640,1318707320440881153,radioelshinta,2020-10-21,@jokoselong
641,1318623318002462720,radioelshinta,2020-10-21,@77bayoe
643,1318548615753859072,radioelshinta,2020-10-20,@AnakBabeGw
644,1318528436051214339,radioelshinta,2020-10-20,@RECOVERADIO
645,1318518576718950400,radioelshinta,2020-10-20,@AnakBabeGw
646,1318515754296201216,radioelshinta,2020-10-20,@AnakBabeGw
647,1318497408108564483,radioelshinta,2020-10-20,@EddySutisna7
648,1318368877227593728,radioelshinta,2020-10-20,@Dolley_Agri
651,1318146540586766336,radioelshinta,2020-10-19,@AshaaMW
652,1318124293901840385,radioelshinta,2020-10-19,@sutrisnoam
654,1318081426173014016,radioelshinta,2020-10-19,@BagusRTNews
656,1318071423412285440,radioelshinta,2020-10-19,@intanalyze
657,1318045826267033600,radioelshinta,2020-10-19,@FajarThama
658,1318040426335653888,radioelshinta,2020-10-19,@AnakBabeGw
659,1317834865547517952,radioelshinta,2020-10-18,@militanvespa
660,1317758396607520769,radioelshinta,2020-10-18,@60far60pay
666,1317079953419087872,radioelshinta,2020-10-16,@JSuanggi
668,1316716882389467137,radioelshinta,2020-10-15,@JajangRidwanK
669,1316679070034268160,radioelshinta,2020-10-15,@nikitadarius101
670,1316611007368712194,radioelshinta,2020-10-15,@SusiloTriagung
671,1316609110436012033,radioelshinta,2020-10-15,@biofarmaID
674,1315987728463351808,radioelshinta,2020-10-13,@anjarVratama
675,1315948076071227392,radioelshinta,2020-10-13,@haninhilbram
676,1315849777888649216,radioelshinta,2020-10-13,@ikke_yumari
678,1315675844753289217,radioelshinta,2020-10-12,@Suredead
679,1315649754240413704,radioelshinta,2020-10-12,@rheeco1402
680,1315643104708288522,radioelshinta,2020-10-12,@EliahuNavia
681,1315631814933835783,radioelshinta,2020-10-12,@FajarThama
682,1315629878427840518,radioelshinta,2020-10-12,@FajarThama
683,1315624841303584768,radioelshinta,2020-10-12,@rheeco1402
686,1315234451169800193,radioelshinta,2020-10-11,@ArifRFauzi
687,1315226974390894594,radioelshinta,2020-10-11,@revobiru
690,1314514767248203776,radioelshinta,2020-10-09,@ElshintaTegal_
691,1313987128469057536,radioelshinta,2020-10-08,@FarhanF83325726
693,1313787460426493952,radioelshinta,2020-10-07,@FarhanF83325726
695,1312365439863775232,radioelshinta,2020-10-03,@ElshintaTegal_
697,1311452886501531649,radioelshinta,2020-10-01,@Rey28649173
698,1311452720629334016,radioelshinta,2020-10-01,@daha_r
701,1310601608607141895,radioelshinta,2020-09-28,@FajarThama
703,1309155811114049536,radioelshinta,2020-09-24,@EsterMalonda
707,1307603928356331520,radioelshinta,2020-09-20,@ysofyan
708,1307399065525657600,radioelshinta,2020-09-20,@ElshintaTegal_
713,1305775071848402944,radioelshinta,2020-09-15,@aryopramudito2
714,1305659946629963776,radioelshinta,2020-09-15,@munfarikhaaas
717,1304177663997743105,radioelshinta,2020-09-11,@AnakBabeGw
718,1304173455110074369,radioelshinta,2020-09-11,@AnakBabeGw
719,1303869034878742528,radioelshinta,2020-09-10,@AndyJuliyanto22
720,1303857809511964673,radioelshinta,2020-09-10,@aguseko72
721,1303857653584592896,radioelshinta,2020-09-10,@ElshintaTegal_
722,1303814413963591680,radioelshinta,2020-09-10,@FajarThama
724,1303644580873601025,radioelshinta,2020-09-09,@AndyJuliyanto22
726,1303639245123272706,radioelshinta,2020-09-09,@evereeze
728,1303617870547484674,radioelshinta,2020-09-09,@evereeze
729,1303568169081040896,radioelshinta,2020-09-09,@Joniswn2000
731,1303567383735357440,radioelshinta,2020-09-09,@caramelsKYU
733,1303153096525148160,radioelshinta,2020-09-08,@alambaskoroke4
734,1302577052244033537,radioelshinta,2020-09-06,@KapitanDanar
735,1302214157735878656,radioelshinta,2020-09-05,@Pull_Mo
737,1302035716831088641,radioelshinta,2020-09-05,@fajarabaskris
778,1298951419035185154,radioelshinta,2020-08-27,@miyeonsshii
779,1298707680647737349,radioelshinta,2020-08-27,@FajarThama
781,1298657708447432705,radioelshinta,2020-08-26,@FajarThama
785,1298453035216072704,radioelshinta,2020-08-26,@Muslich_Leva
786,1298444285914705922,radioelshinta,2020-08-26,@ElshintaLampung
789,1298092674445008897,radioelshinta,2020-08-25,@ElshintaTegal_
790,1298070075455356928,radioelshinta,2020-08-25,@ElshintaTegal_
